bugId,effectiveness,text,keywords
10002,1,detect cde activ wm platform specif swt code determin activ desktop defin atom properti root window atom eclips identifi cde dtwm run program desktop cde aix defin properti nice string aix hp ux solari common kevin cornel discuss dt sm prefer defin properti platform,desktop
10050,1,style text select color background color great background color eclips prefer dark blue backgrund find comfort ey easier read moment select color eclips default ve guess dark blue render set background color complet useless solut user choos select color eclips choos select color distinguish user select background color,style text select color background color background color eclips
10426,1,esc travers hierarchi build hook esc activ editor acceler back doesn work steal renam file travers listen shell notifi esc travers handl esc parent chain intend bug hook esc parent widget children handl,travers hook activ
10525,1,free tabl viewer column edit tabl viewer instanc creat column creat free work handl resiz tabl code activ cell editor explicitli creat column pleas head fix releas test code integr build otherwis pde editor broken renam entri list,resiz tabl activ editor creat column
10532,1,dcr tabl set select int int order matter build call tabl set select int start int end matter order argument assum start end resili start end doesn spec order requir,dcr tabl set select build call tabl set select matter argument resili start end spec
10766,1,combo remov behaviour match api document doc remov clear item receiv list clear receiv text field,remov doc remov clear item receiv list
11182,2,properti sheet edit properti scenario creat pde plug project switch extens page creat action set extens select extens creat menu select menu creat separ select separ default properti sheet refus edit object properti edit major problem pde becaus make manifest editor useless extens element properti,select problem editor useless
11204,1,activ control accept kei input activ control accept kei input ol frame translatel ol acceler call activ control translat acceler control call ol control site translat acceler ol control site translat acceler return error implement control translat acceler return error code ol frame translat ol acceler method return code compar fals privat boolean translat ol acceler msg msg obj ol activ object null return fals return obj ol activ object translat acceler msg ol fals method return true error code translat ol acceler return obj ol activ object translat acceler msg ol,control control translat acceler
11498,1,style text redraw line style build code attempt color line caret caret move problem arrow kei move caret line line style listen call line color press button widget redraw show line knut beliv line color background callback call callback call time caret move import org eclips swt swt import org eclips swt custom import org eclips swt widget import org eclips swt event import org eclips swt graphic public class style bug public static void main string arg shell shell shell shell set text avocado bug test final style text text style text shell swt border swt scroll swt scroll text set bound final color swt color avocado color shell displai text add line style listen line style listen public void line style line style event event int line text line offset event line offset int start text offset line line int end start event line text length int text caret offset system println line style start end event style style rang style rang avacado style style rang avacado style start start avacado style length end avacado style background swt color avocado event style avacado style text set edit true string word public import class interfac int extend throw implement doubl float felip steveo silenio swt veronika test oti blabla style helloworld int length word length int text append word int math random word length text append button button button shell swt push button set text redraw button set bound button add mous listen mous adapt public void mous org eclips swt event mous event text redraw text set focu shell set size shell open displai displai shell displai shell dispos displai read dispatch displai sleep shell dispos swt color avocado dispos,color line move
11515,1,comput trim client area inconsist tab folder swt document desir client area comput trim return bound rectangl requir produc client area bound rectangl height account tab folder client area line greater row pixel calcul tab folder comput trim line inconsist affect patch fix workaround manual correct bound return comput trim,bound rectangl height tab folder client area line greater pixel calcul tab folder comput trim line
11516,1,view form overrid comput trim view form implement calcul requir bound rectangl desir client area comput trim overridden gener control client area implement overrid comput trim affect fix minimum dimens calcul depend comput trim correctli account trim,view form overrid comput view form requir bound rectangl client area comput overridden
11587,1,bidi java editor text editor user interfac issu problem found eclips build user interfac issu ui issu divid categori set keyboard languag bad posit caret visual feedback boundari condit appli java text editor set keyboard languag oper number case keyboard languag set remov charact del keyboard languag set remov charact skip charact left arrow remov charact backspac keyboard languag set remov charact skip charact left arrow skip previou word ctrl left arrow keyboard languag set charact word bad caret posit oper number case caret posit type data rule type charact caret adjac type charact empti line type def displai correctli fed note type number caret displai correctli side digit enter start line abcxyz put cursor type def displai abc fe dxyz caret behav good start line defghi displai correctli ihgf put caret type caret behav left side leftmost digit side digit enter arrow rule press left arrow caret adjac charact skip arrow left arrow note side charact ltr segment left side charact rtl segment left side charact ltr segment side charact rtl segment start line abc def ghi jkl mno xyz displai abc gfe dhi onm lk jxyz start home posit press arrow repeatedli rule skip caret stand left side stand left side skip caret stand side stand side note left arrow conform rule case backspac rule press backspac caret stand locat remov charact start line abc def ghi jkl mno xyz displai abc gfe dhi onm lk jxyz case put caret press backspac remov caret stand left correct press backspac remov correct caret stand left stand case put caret press backspac remov caret stand left correct press backspac remov correct caret stand left stand left case put caret press backspac remov caret stand correct press backspac remov correct caret stand stand del rule press del caret stand locat remov charact start line abc def ghi jkl mno xyz displai abc gfe dhi onm lk jxyz case put caret press del remov correct caret stand left stand left case put caret press del remov correct caret stand stand case put caret press del remov caret stand correct press del remov correct caret stand stand left previou word rule skip previou word ctrl left arrow caret preced logic charact word start line abc def ghi jkl mno pqr stu displai abc def onm lkj ihg pqr stu start left press ctrl arrow repeatedli caret stop left left left start press ctrl left repeatedli caret stop posit revers order practic ctrl left behav requir ctrl misbehav transit ltr word rtl word stop left visual feedback boundari condit caret posit remot logic charact visual line abcxyz displai abcxyz put caret type def data abc de fxyz displai abc fe dxyz caret stand left logic charact delet press del visual remot caret posit call boundari condit user boundari condit shape caret color blink rate method java layout text widget displai caret boundari condit,start line abcxyz put cursor type def abc dxyz caret
11657,1,inconsist swt focu behaviour flag style shell widget linux flag linux flag effect widget children flag effect widget widget shell document flag effect focu event,focu style shell linux children widget focu event
11714,4,error messag log run browsr document platform log entri messag web browser run window found xmlencod detect iso log platform log,error window xmlencod detect platform
11868,1,style text text select kei arrow includ line,style text text select kei line
11935,4,ctrl tab pde editor depend page build step open plugin xml file open plugin manifest editor depend page set focu find combo box head depend statu press tab ctrl tab tab combo box backward tab shift tab,set focu combo
11994,1,style text replac offset caret offset caret locat build number locat caret call offset caret offset haven code replac call caret locat won caret null caret optim case caret,replac caret locat
12048,1,npe exit workspac build win note run special swt jar leak tool start imag ran runtim workbench close runtim workbench close imag messag print consol shutdown log mar est org eclips core runtim problem occur invok code plug org eclips core runtim java lang null pointer org eclips swt graphic devic dispos object devic java compil code org eclips swt graphic color dispos color java org eclips debug intern ui color manag dispos color manag java org eclips debug intern ui debug ui plugin shutdown debug ui plugin java org eclips core intern plugin plugin registri run plugin registri java org eclips core intern runtim intern platform run intern platform java org eclips core intern plugin plugin registri visit plugin registri java org eclips core intern plugin plugin registri accept plugin registri java org eclips core intern plugin plugin registri shutdown plugin plugin registri java org eclips core intern plugin plugin registri shutdown plugin registri java org eclips core intern runtim intern platform loader shutdown intern platform java java lang reflect method invok nativ method org eclips core intern boot intern boot loader shutdown intern boot loader java org eclips core intern boot intern boot loader run intern boot loader java org eclips core boot boot loader run boot loader java java lang reflect method invok nativ method org eclips core launcher main basic run main java org eclips core launcher main run main java org eclips core launcher ui main main ui main java,imag
12178,1,style text move style text render bidi text width displai render build bidi text width style text render calcul line start locat bidi platform import displai render becaus bidi caret inset print bidi caret inset method move displai render made abstract style text render return print render style text render caret direct move print render remov complet style text render,render render print render
12181,1,style text mix text width caret posit confus build concept caret posit text width interchang measur text begin line charact offset line caret posit ad support margin singl mode left margin set caret positit text width left margin make concept caret posit text width clearer doc confus introduc style text bidi caret posit call bidi text width caret posit text width renam caret posit text width method suggest caret posit text width text posit,margin singl mode
12220,1,swt mous enter mous exit portabl control move mous control enter control exit event order exit enter import org eclips swt swt import org eclips swt event import org eclips swt event mous event import org eclips swt event mous move listen import org eclips swt graphic color import org eclips swt widget public class exit enter test public static void main string arg displai displai displai final shell shell shell displai shell set size shell set locat canva canva canva shell canva canva canva shell canva set background color null canva set bound canva add mous track listen mous track adapt public void mous exit mous event system println canva exit canva set bound canva set background color null canva add mous track listen mous track adapt public void mous enter mous event system println canva enter shell open shell dispos displai read dispatch displai sleep displai dispos,enter exit control move mous control exit order exit enter swt event import swt mous event swt move import swt import swt class exit displai displai displai shell shell displai shell size shell canva canva canva shell canva bound mous mous track exit mous system set bound set background track mous mous mous system println enter shell displai read displai displai
12360,1,travers event doit doesn turn tab folder build descript hook travers listen control tab folder set doit fals turn default behaviour window linux behaviour found tab folder recurs parent control control built composit directli shell set doit fals turn default behaviour behaviour run sampl code click add button hit print consol click combo hit enter keyboard window motif hit print import org eclips swt widget import org eclips swt import org eclips swt layout import org eclips swt event public class doit bug public static void main string arg final displai displai displai final shell shell shell displai shell set layout fill layout tab folder tab folder tab folder shell swt null tab folder set layout grid layout combo margin combo tab folder swt margin add travers listen travers listen public void kei travers travers event event event detail swt travers return event doit fals button add button tab folder swt push add set text add add add select listen select adapt public void widget select select event system println hit shell set size shell open shell dispos displai read dispatch displai sleep,doit hook travers listen set doit fals linux tab parent control composit shell doit default run sampl click add button hit click enter keyboard motif hit print eclips import import eclips layout swt doit string displai displai final shell shell shell set shell swt tab layout folder add kei event fals add tab swt add listen select set
12398,1,access problem win launch view tab kei click live area start work banner tool button nav frame content frame start view navig keyboard,access problem win launch kei tool frame content frame
12573,1,tabl send select event tab folder build hard time tabl creat insid tab folder send select event tab folder send code show problem select gener line consol output tabl parent shell gener line comment aren show problem import org eclips swt swt import org eclips swt layout fill layout import org eclips swt widget public class tabl test public static void main string arg displai displai displai shell shell shell displai shell set layout fill layout shell set size tab folder tab folder tab folder shell swt tab folder set layout fill layout tab item tab item tab item tab folder swt tab item set text tab final tabl tabl tabl tab folder swt tab item set control tabl tabl add listen swt select listen public void handl event event event system println tabl select count item select int tabl item item tabl item tabl swt item set text item shell set visibl true shell dispos displai read dispatch displai sleep,tab folder send code
12625,1,menu item grab acceler disabl menu item acceler contin grab acceler disabl workaround editor menu manag remov acceler item disabl steve awar issu,menu manag acceler item disabl
12811,1,tabl column don pack properli build call pack tabl column column pack smaller prefer size label column header fulli occur window sampl code import org eclips swt import org eclips swt widget import org eclips swt layout public class pr public static void main string arg displai displai displai shell shell shell displai shell set layout grid layout tabl tabl tabl shell swt multi tabl set line visibl true tabl set header visibl true int tabl item item tabl item tabl tabl column column tabl column tabl column set text column column pack shell pack shell open shell dispos displai read dispatch displai sleep displai dispos,column header fulli
13194,1,usabl editor tab open editor arrow visibl start close editor side note arrow visibl visibl tag editor open scroll,tab open arrow close editor note arrow visibl visibl tag open scroll
13411,1,combo incorrect combo behaviour list stuck integr build motif file plugin develop featur project continu wizard creat featur project finish featur editor automat open inform page click drop arrow section combo drop click drop arrow focu leav enter combo list retract,build automat open drop arrow section combo drop drop arrow combo
13432,1,ol control doesn propag wm setfocu messag activ control ol control site propag wm setfocu messag child activ control step open editor host activ control swt set keyboard focu editor open eclips prefer dialog close dialog keyboard focu isn restor activ control ol control site composit set focu method call doesn propag wm setfocu messag child activ control,control site setfocu messag child activ control editor activ control swt
13639,1,control tool item eclips linux motif bug control set tool item uncom line ccombo move null combo widget toolbar otherwis separ public static void main string arg displai displai displai shell shell shell displai final tool bar tool bar tool bar shell swt flat swt border tool item ti tool item tool bar swt push ti tool item tool bar swt separ combo ccombo combo tool bar swt combo ccombo combo tool bar swt int ccombo add item ccombo pack ti set control ccombo ti set width tool bar set locat tool bar pack bug move ccombo move null shell open shell dispos displai read dispatch displai sleep displai dispos,linux motif control set tool item line ccombo move widget separ
13725,1,revert slower close open java editor start open editor file org eclips swt custom style text java sourc folder eclips swt custom widget project org eclips swt open sourc repositori select end line hit space charact file mark dirti point fast machin home perform step click close box editor tab answer save dialog doubl click file navig open repeat step select revert pop menu editor replac content window origin odd revert file content close open file,revert slower start style end line dirti point machin file repeat replac content
13826,1,perform issu tabl remov method org eclips swt widget tabl remov remov item begin vector remov item end vector shuffl item remov top rest item remov vector,method swt tabl remov remov item vector remov item end vector shuffl item remov
13969,1,access visual focu tabl env red hat visual focu tabl widget tabl focu focu list widget expect focu rect shown insid widget item exist focu rect shown select item item exist,visual focu tabl widget tabl focu
14047,1,style text ineffici redraw text word wrap build append line style text word wrap mode result redraw client area maximum redraw visibl line run test case reproduc add line style text perform paint redraw occur system println line count line count paint paint render height render height,build line style text word wrap result redraw area
14297,3,add spinner widget swt toolkit widget surpis standard set swt widget spinner spinner absolut clear refer widget text area button arrow design easi input numer iter order list spinner common window don nativ widget common gui concept made swing jdk javax swing spinner swt implement spinner oper numer abil handl time date nice,add spinner standard widget absolut clear refer text easi numer spinner window gui javax swt implement numer abil handl date
14528,1,problem label comput size show comput size return size big fit text swt default show text swt defaut part text cut run line show import org eclips swt widget import org eclips swt layout import org eclips swt import org eclips swt event import org eclips swt event select listen import org eclips swt graphic point public class explor public static void main string arg string line hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh hhhhhhh hb displai displai displai shell shell shell displai label label label shell swt wrap swt border label set text line line nline nline point size label comput size swt default swt default point size label comput size swt default shell set bound size size system println shell shell bound label set bound size size system println label label bound shell open system println shell shell bound system println label label bound shell dispos displai read dispatch displai sleep,label size comput return big swt default text defaut text line import eclips eclips import swt import swt import event select import class explor line hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh hhhhhhh displai displai displai swt wrap swt border label set line line nline label comput default swt default point comput swt shell bound size system println label set bound size size label println shell println displai
14536,1,style text bidi ctrl arrow behavior skip previou word ctrl left arrow keyboard languag set charact word caret posit previou word rule skip previou word ctrl left arrow caret preced logic charact word start line abc def ghi jkl mno pqr stu displai abc def onm lkj ihg pqr stu start left press ctrl arrow repeatedli caret stop left left left start press ctrl left repeatedli caret stop posit revers order practic ctrl left behav requir ctrl misbehav transit ltr word rtl word stop left,previou word ctrl left arrow set charact word
14654,3,type singl line select tripl click common conveni behavior text editor id es miss nice switch keyboard shift arrow lot effort achiev effect,singl line select tripl click keyboard arrow effect
14799,1,window manipul block thread execut win platform win win nt oper move scrollbar arm resiz window block thread execut case qnx case unclear testcas note trivial natur test repres kind issu java awt scroll pane repaint view scroll awt main thread window open observ background color black white move scrollbar arm observ color thread longer color thread block grab shell corner frequent resiz photon color continu occur testcas import org eclips swt swt import org eclips swt graphic color import org eclips swt layout fill layout import org eclips swt widget canva import org eclips swt widget displai import org eclips swt widget shell public class test swt scroll event displai displai shell shell canva canva public static void main string arg test swt scroll event test test swt scroll event test creat widget test open void creat widget displai displai shell shell displai shell set layout fill layout canva canva shell swt border swt scroll swt scroll void open shell pack shell open creat background thread shell dispos displai read dispatch displai sleep background thread color canva canva switch black white long ui respons void creat background thread creat run runnabl runnabl runnabl color black displai system color swt color black color white displai system color swt color white color background black public void run shell dispos set background color canva ui thread displai sync exec runnabl public void run canva set background background wait background color thread sleep catch interrupt toggl color background black background white els background black creat thread background color start thread runnabl start,window manipul win platform win win nt oper move scrollbar window execut window black observ color color displai displai switch respons run runnabl runnabl runnabl black system color color system run ui sync run color color white els start runnabl
14813,2,class cast creat run configur order run debug class creat configur click configur dialog workbench termin class cast,cast creat order class creat dialog
14880,1,column resiz problem chees build run test case start column resiz move column resiz black vertic line pixel column column grid line releas mous observ column isn resiz resiz lead pixel wider resiz eras relat note releas mous column resiz directli column grid line column resiz smaller somewher,column resiz
14935,1,emul widget test fail linux build number unexpect error failur run org eclips swt test junit emul widget test relat tabl remov int tabl item imag bound rest inherit test widget control run test,relat tabl remov tabl item imag bound widget
14942,1,unexpect kei event press exist menu mnemon build run test case press alt activ pull menu press kei menu item mnemon exist press esc back menu swt send kei event pull menu mnemon charact don,test case activ menu menu item mnemon exist esc back menu send event menu mnemon
15088,1,style text top index semant undefin line fulli visibl,style top line fulli visibl
15115,1,remov column broken emul tabl knut plai tabl interact test morn test remov column remov column complet broken remov singl column lead tabl irrevers bad state lost chees problem method remov column visual tabl ad index column shift bug becaus step column remov remov vector line move column column index column width move column column index column width fix bug patch index eclips swt emul treetabl org eclips swt widget tabl java rc file home eclips org eclips swt eclips swt emul treetabl org eclips swt widget tabl java retriev revis diff tabl java eclips swt emul treetabl org eclips swt widget tabl java eclips swt emul treetabl org eclips swt widget tabl java int column width column width move column left move column column index column width move column column index column width redraw header redraw,ad index column step column remov remov
15172,2,focu text field open type dialog linux motif open type dialog show type hierarchi checkbox focu text field haven touch open type dialog long time,focu open type dialog motif open type checkbox focu
15208,1,style text text mechan poorli document build text listen doc incomplet mislead class doc intend user style text widget implementor style text content mislead becaus implementor style text content invok apropri listen method text listen implement user style text text text set method document doc style text content add text listen replac text rang set text incomplet method mention method text event pretti obviou text listen mention explicitli,style text text poorli document
15224,2,file dialog return file select pocket pc file dialog open method return path select file pocket pc run testcas type bob txt field dialog select folder list press open method return null bob txt cut import org eclips swt swt import org eclips swt layout fill layout import org eclips swt widget public class test swt file dialog public static void main string argument test swt file dialog run public void run displai displai displai shell shell shell displai shell set text class shell set layout fill layout file dialog dialog file dialog shell swt save dialog set text save file titl string result dialog open system println result chosen cut,return file dialog open path file dialog open method return argument file dialog displai displai displai set file dialog dialog dialog save dialog set save file titl dialog system result
15466,1,imag data blit throw arrai index bound run version swt arrai index bound creat imag larg imag data testcas pass run version swt ship eclips test case import org eclips swt graphic imag import org eclips swt graphic imag data import org eclips swt graphic palett data import org eclips swt graphic rgb import org eclips swt widget displai public class swt test case public static void main string arg swt test case swt test case imag data imag data creat palett imag imag displai default catch arrai index bound system println arrai index bound case imag constructor print stack trace system println finish privat palett data creat palett rgb temp rgb rgb rgb return palett data temp rgb catch system println return null output version swt arrai index bound case imag constructor java lang arrai index bound stack trace java lang throwabl init java lang throwabl init ljava lang string java lang arrai index bound init ljava lang string org eclips swt graphic imag data blit biiiiiii bi bi biiiiiii bzz org eclips swt graphic imag init lorg eclips swt graphic devic lorg eclips swt graphic imag lorg ec lips swt graphic imag data org eclips swt graphic imag init lorg eclips swt graphic devic lorg eclips swt graphic imag data org eclips swt graphic imag init lorg eclips swt graphic devic lorg eclips swt graphic imag data swt test case main ljava lang string finish output swt finish,imag data blit index bound
15513,1,combo set tooltip text doesn work combo set tooltip text doesn work implement combo set tooltip text string text text set tooltip text text arrow set tooltip text text,combo set text combo set tooltip text combo text set text arrow text
15538,1,label requir border draw correctli comput size method calcul height incorrectli wrap label linux motif step run top bottom text cut code label creat swt border run label size correctli import org eclips swt swt import org eclips swt layout import org eclips swt widget public class label border wrap test public static void main string arg displai displai displai shell shell shell displai composit outer comp composit shell swt null outer comp set layout grid layout composit pg comp composit outer comp swt null grid layout layout grid layout pg comp set layout layout pg comp set layout data grid data grid data fill label msg label label pg comp swt left swt wrap msg label set text fairli long messag wrap grid data grid data grid data grid data fill horizont msg label set layout data grid data msg label pack pg comp set visibl true pg comp pack outer comp set bound shell open shell dispos displai read dispatch displai sleep displai dispos,label requir border correctli comput calcul wrap label motif
15554,1,dcr align text widget set string text widget align number javax swing text field exist function set horizont align text field similar org eclips widget text set left center align,dcr text widget
15559,1,jaw read parent window dialog shell jaw featur read content messag box messag box pop hit read widget box eclips ui messag box window modal shell featur read content window parent dialog dialog applic word detect repair dialog read widget dialog,parent window dialog shell messag messag hit ui window modal shell content window parent dialog word dialog widget
15610,1,style text doubl click drag doesn work work text doubl click drag click press releas doesn work typic swipe select word boundari text control,doubl click click doesn typic select word boundari
15637,1,chees tabl set column imag eclips linux motif run folloiwng add imag header chees note suppli imag bigger column heaer size similarli remov imag public static void main string arg displai displai displai final imag imag imag displai scrapbook class resourc stream imag bmp shell shell shell displai shell set layout fill layout final tabl tabl tabl shell swt border tabl set header visibl true final tabl column column tabl column tabl swt column set text column final tabl column column tabl column tabl swt column set text column final tabl column column tabl column tabl swt column set text column int tabl item item tabl item tabl swt item set text item column pack column pack column pack button button shell swt push set text imag add select listen select adapt public void widget select select event imag imag column imag imag null column set imag imag els column set imag null shell open shell dispos displai read dispatch displai sleep imag dispos displai dispos,imag add header column displai imag class stream displai set fill final tabl tabl header tabl column column tabl swt text tabl column tabl swt column column column column tabl column set column tabl tabl item column pack column pack column pack swt set select listen select widget select imag column imag column set imag imag els column imag dispatch imag dispos displai dispos
